repo_name,time_stamp,pattern,reason_type,group_reason
SourceHot/spring-framework-read,2009-09-25 05:16:55,org.slf4j:slf4j commons-logging:commons-logging,2,project specific
spotify/async-datastore-client,2019-04-18 16:39:29,com.google.api.grpc:proto-google-cloud-datastore-v1 com.google.cloud.datastore:datastore-v1-protos,6,source library
spotify/styx,2017-06-02 02:23:20,org.slf4j:slf4j ch.qos.logback:logback,5,target library
spring-io/sagan,2013-10-10 12:12:15,com.h2database:h2 org.hsqldb:hsqldb,3,target library
spring-projects/spring-data-mongodb,2020-01-27 10:43:51,org.mongodb:mongodb-driver org.mongodb:mongo-java-driver,6,source library
theotherp/nzbhydra2,2017-05-29 20:32:26,com.h2database:h2 org.hsqldb:hsqldb,5,target library
Tillerino/Tillerinobot,2019-10-25 16:55:12,org.apache.logging.log4j:log4j org.slf4j:slf4j,2,project specific
TNG/JGiven,2016-12-25 17:15:14,org.apache.maven.plugin-tools:maven-plugin-annotations org.apache.maven:maven,6,source library
weld/core,2013-10-01 06:29:28,org.apache.tomcat.embed:tomcat-embed org.apache.tomcat:tomcat,1,project specific
xaverW/MSearch,2020-12-31 00:30:51,org.apache.commons:commons-text org.apache.commons:commons-lang3,6,source library
xwiki/xwiki-platform,2012-12-04 15:37:58,ch.qos.logback:logback org.slf4j:slf4j,1,project specific
zanata/zanata-platform,2010-07-13 21:14:27,com.google.guava:guava com.google.collections:google-collections,6,source library
zanata/zanata-server,2010-07-13 21:14:27,com.google.guava:guava com.google.collections:google-collections,6,source library
Internet2/grouper,2018-02-06 14:12:34,javax.servlet:javax.servlet-api javax.servlet:jsp-api,1,project specific
Internet2/grouper,2018-02-06 14:12:34,javax.servlet:javax.servlet-api javax.servlet:jsp-api,2,project specific
Internet2/grouper,2018-02-06 14:12:34,javax.servlet.jsp.jstl:javax.servlet.jsp.jstl-api javax.servlet:jstl,1,project specific
Internet2/grouper,2018-02-06 14:12:34,javax.servlet.jsp.jstl:javax.servlet.jsp.jstl-api javax.servlet:jstl,2,project specific
Internet2/grouper,2018-02-06 14:12:34,javax.servlet.jsp:javax.servlet.jsp-api javax.servlet:jstl,1,project specific
Internet2/grouper,2018-02-06 14:12:34,javax.servlet.jsp:javax.servlet.jsp-api javax.servlet:jstl,2,project specific
Internet2/grouper,2018-02-06 14:12:34,javax.servlet:javax.servlet-api javax.servlet:jstl,1,project specific
