repo_name,time_stamp,pattern,reason_type,group_reason
GoogleCloudPlatform/python-docs-samples,2016-02-22 19:21:27,pymemcache python3-memcached,2,project specific
gramener/gramex,2019-03-19 11:14:48,six urllib,2,project specific
gramener/gramex,2019-03-19 11:14:48,six configparser,2,project specific
graphcool/python-graphql-client,2017-09-13 04:25:59,six urllib,2,project specific
gregmuellegger/django-autofixture,2014-07-22 22:39:54,algoliasearch-django six,1,project specific
gregmuellegger/django-autofixture,2014-07-22 22:39:54,django six,1,project specific
gregversteeg/corex_topic,2020-05-19 13:05:14,joblib scikit,6,source library
gregversteeg/corex_topic,2020-05-19 13:05:14,joblib sklearn,6,source library
gretelai/gretel-synthetics,2020-03-23 19:53:16,path os,4,target library
grnet/ganetimgr,2017-08-09 14:58:56,json simplejson,6,source library
grnet/synnefo,2016-10-21 09:12:08,requests-oauthlib python-oauth2,3,target library
grnet/synnefo,2016-10-21 09:12:08,requests-oauthlib requests-oauth2,3,target library
grnet/synnefo,2016-10-21 09:12:08,requests-oauthlib oauth2,3,target library
grnet/synnefo,2016-10-21 09:12:08,requests oauth2,3,target library
grow/grow,2017-05-13 08:21:54,requests urllib,2,project specific
GrumpyNounours/PySeidon,2014-08-07 18:43:40,scipy netcdf4,5,target library
gsamokovarov/frames.py,2014-12-16 22:10:32,pytest attest,7,source library
gsamokovarov/frames.py,2014-12-16 22:10:32,pytest attest,11,target library
hammerlab/mhcflurry,2017-11-13 18:46:39,pyyaml json,3,target library
hans/glove.py,2014-09-13 19:20:37,msgpack pickle,5,target library
HappyTramp/minishell_test,2020-09-13 07:50:52,re regex,2,project specific
HazyResearch/snorkel,2020-04-06 19:03:08,torch tensorboard-pytorch,1,project specific
HazyResearch/snorkel,2020-04-06 19:03:08,torch tensorboardx,1,project specific
hclivess/Bismuth,2018-06-28 21:23:30,pycryptodomex pycryptodome,2,project specific
henrysky/astroNN,2018-03-04 20:50:29,math numpy,1,project specific
heywbj/django-rest-framework-recursive,2015-06-03 18:08:08,importlib algoliasearch-django,6,source library
heywbj/django-rest-framework-recursive,2015-06-03 18:08:08,importlib django,6,source library
hibtc/cpymad,2020-09-04 09:18:11,argparse core-parser-app,1,project specific
hiviah/https-everywhere-checker,2012-07-05 12:24:11,regex re,7,source library
home-assistant-ecosystem/home-assistant-cli,2019-02-07 14:46:15,ruamel pyyaml,1,project specific
home-assistant-ecosystem/home-assistant-cli,2019-02-07 14:46:15,ruamel pyyaml,2,project specific
homebysix/pre-commit-macadmin,2019-02-28 07:27:32,ruamel pyyaml,10,source library
homeworkprod/byceps,2019-11-28 22:03:41,dataclasses attr,3,target library
hovel/imagestore,2019-02-02 19:45:19,cchardet chardet,5,target library
hovel/imagestore,2019-02-02 19:45:19,cchardet chardet2,5,target library
hsoft/moneyguru,2010-07-12 12:35:37,py.test nose,2,project specific
hsoft/moneyguru,2010-07-12 12:35:37,py nose,2,project specific
hyperspy/hyperspy,2011-08-31 14:13:31,scipy numpy,5,target library
hyperspy/hyperspy,2018-11-03 15:54:07,imageio scipy,6,source library
IBM/lale,2020-06-10 21:00:44,pytest unittest,3,target library
IdentityPython/pysaml2,2017-01-12 20:22:02,cryptography pycryptodomex,1,project specific
IdentityPython/pysaml2,2016-09-23 06:12:58,six future,2,project specific
idiap/pkwrap,2021-03-12 11:06:42,pysoundfile librosa,5,target library
idiap/pkwrap,2021-03-12 11:06:42,soundfile librosa,5,target library
ikreymer/pywb,2016-04-27 17:16:54,urllib3 requests,3,target library
ikreymer/webarchiveplayer,2015-01-12 01:45:42,waitress gunicorn,2,project specific
IMGIITRoorkee/omniport-backend,2018-05-24 20:29:10,pyyaml json,3,target library
IMGIITRoorkee/omniport-backend,2018-05-24 20:29:10,pyyaml json,4,target library
internetarchive/openlibrary,2020-12-17 19:13:31,json simplejson,1,project specific
invesalius/invesalius3,2019-06-11 17:17:49,imageio scipy,6,source library
invisibleroads/pyramid-examples,2011-12-11 16:16:26,ipdb pdb,4,target library
invisibleroads/pyramid-examples,2011-12-11 16:16:26,ipdb pdbpp,4,target library
iotaledger/iota.py,2020-02-05 11:54:19,httpx requests,3,target library
ipython/ipython,2011-10-14 18:29:17,json zmq,7,source library
itzkvn/python-http-monitoring,2021-01-08 02:36:56,httpx aiohttp,7,source library
iver56/automatic-video-colorization,2019-06-24 21:06:15,pillow opencv,7,source library
jakubcerveny/gilbert,2021-05-05 21:56:59,argparse sys,3,target library
jaraco/keyrings.alt,2020-09-30 18:24:18,pycryptodomex pycryptodome,6,source library
jaraco/wolframalpha,2014-06-08 10:02:14,six urllib,2,project specific
jaraco/wolframalpha,2014-06-08 10:02:14,six urllib2,2,project specific
jensl/critic,2013-09-09 08:11:30,passlib bcrypt,3,target library
jensl/critic,2013-09-09 08:11:30,passlib python-bcrypt,3,target library
jhfjhfj1/autokeras,2018-10-23 20:26:49,imageio scipy,6,source library
jjgomera/pychemqt,2016-05-05 21:19:56,json pickle,4,target library
jjjake/internetarchive,2019-12-06 21:31:39,tqdm clint,6,source library
joestump/python-oauth2,2010-12-21 17:51:20,mock mox,4,target library
joestump/python-oauth2,2010-12-21 17:51:20,mock mox,7,source library
JohannesBuchner/BXA,2019-05-21 14:06:44,tqdm progressbar,2,project specific
johnpaulett/python-hl7,2011-07-13 01:08:10,unittest nose,1,project specific
jorgecarleitao/public-contracts,2014-05-09 17:25:47,requests mechanize,2,project specific
jpsenior/threataggregator,2016-02-04 23:13:53,requests urllib,2,project specific
jsalt18-sentence-repl/jiant,2018-07-26 19:02:28,argparse sys,3,target library
juergh/dwarf,2017-02-15 11:25:28,cryptography m2crypto,4,target library
juergh/dwarf,2017-02-15 11:25:28,cryptography m2crypto,13,target library
jupyter/jupyter_client,2011-10-14 18:29:17,json zmq,7,source library
jupyter/qtconsole,2011-10-14 18:29:17,json zmq,7,source library
jupyterhub/binderhub,2017-09-20 20:06:57,ruamel pyyaml,4,target library
Karaage-Cluster/python-tldap,2014-06-20 01:38:44,python3-ldap ldap,2,project specific
kaushaltrivedi/fast-bert,2019-07-20 17:38:08,pytorch-transformers pytorch-pretrained-bert,13,target library
kennethjiang/OctoPrint-Anywhere,2017-05-05 03:39:46,urllib2 requests,5,target library
kevin1024/fabric_remote,2014-03-23 02:41:57,shortuuid uuid,4,target library
KevinMusgrave/pytorch-metric-learning,2021-02-04 06:01:33,torch numpy,1,project specific
kimchi-project/kimchi,2020-03-28 19:28:56,ipaddress ipaddr,6,source library
kimchi-project/kimchi,2020-03-28 19:28:56,py2-ipaddress ipaddr,6,source library
kivy-garden/garden.mapview,2014-08-18 10:10:02,requests urllib2,5,target library
kivy-garden/garden.mapview,2014-08-18 10:10:02,requests urllib2,3,target library
Kixeye/untar-to-s3,2020-10-14 00:59:07,multiprocessing gevent,2,project specific
klen/pylama,2016-10-19 13:49:57,pycodestyle pep8,6,source library
klipstein/dojango,2013-03-11 12:54:48,json algoliasearch-django,1,project specific
klipstein/dojango,2013-03-11 12:54:48,json algoliasearch-django,6,source library
klipstein/dojango,2013-03-11 12:54:48,json django,1,project specific
klipstein/dojango,2013-03-11 12:54:48,json django,6,source library
Koed00/django-whoshere,2015-05-13 12:43:03,requests urllib,3,target library
Koed00/django-whoshere,2015-05-13 12:43:03,requests urllib2,3,target library
kolypto/py-flask-jsontools,2016-09-02 18:16:33,flask json,2,project specific
kshcherban/gdrive_uploader,2021-06-23 08:38:27,google oauth2client,6,source library
ktbs/ktbs,2018-06-21 14:36:41,waitress wsgiref,3,target library
kvos/CoastSat,2021-03-12 02:03:25,joblib scikit,6,source library
Labber-software/Drivers,2019-01-18 14:44:28,pickle dill,1,project specific
lablup/backend.ai-manager,2017-08-23 06:40:39,async-timeout async,2,project specific
landlab/landlab,2020-04-27 15:48:05,xarray netcdf4,1,project specific
lektor/lektor,2015-12-25 11:44:30,requests urllib,3,target library
liqd/adhocracy,2013-03-04 01:07:20,json simplejson,1,project specific
LogicalDash/LiSE,2018-11-18 22:52:59,msgpack u-msgpack-python,5,target library
LogicalDash/LiSE,2018-11-18 22:52:59,msgpack umsgpack,5,target library
lschmelzeisen/nasty,2019-08-18 18:47:57,toml json,4,target library
lucianopaz/compress_pickle,2019-05-14 11:53:13,os path,2,project specific
luigigubello/My-Twitter-World,2019-10-16 09:40:18,click argparse,5,target library
lukassnoek/skbold,2021-02-08 10:57:10,joblib scikit,6,source library
lukassnoek/skbold,2021-02-08 10:57:10,joblib sklearn,6,source library
LuminosoInsight/luminoso-api-client-python,2014-10-06 21:36:40,tempfile os,2,project specific
machinezone/cobra,2019-10-18 19:18:57,python-rapidjson json,5,target library
magenta/magenta,2020-06-25 16:49:05,skimage scipy,6,source library
mailpile/Mailpile,2019-07-19 09:22:57,fasteners lockfile,1,project specific
malwaredllc/byob,2018-10-14 16:42:13,pycryptodome pycryptodomex,7,source library
Mangopay/mangopay2-python-sdk,2016-07-10 05:31:29,fasteners lockfile,6,source library
